,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125
0,4.0,-2.6504622345529306e-17,-3.4897752754946922e-16,3.4456009049188096e-16,3.533949646070574e-17,-4.417437057588218e-17,4.417437057588218e-17,-1.1927080055488187e-16,2.341241640521755e-16,6.184411880623505e-17,-2.738810975704695e-16,-7.951386703658792e-17,-4.3732626870123354e-16,-1.3694054878523476e-16,1.4577542290041119e-16,1.0380977085332311e-16,-4.726657651619393e-16,1.0380977085332311e-16,-7.067899292141149e-17,-4.1965652047088066e-17,-5.300924469105861e-17,-2.7056801977727833e-16,-1.0380977085332311e-16,4.097172870913072e-16,3.290990607903222e-16,4.472655020808071e-16,-4.6493525031116e-16,1.1043592643970544e-16,4.279392149538586e-16,-2.426829483512527e-16,-6.529524150747584e-16,1.0591495570108e-15,-4.7073313644924443e-17,-5.68745021164483e-17,2.1755877508621971e-16,-6.847027439261738e-17,1.236882376124701e-16,-1.9988902685586685e-16,2.1203697876423444e-16,2.8713340874323413e-17,1.8774107494749926e-16,-4.075085685625131e-16,-6.515719659942622e-17,5.742668174864683e-17,-3.3130777931911635e-17,1.0822720791091133e-16,-4.284913945860571e-16,1.3252311172764654e-16,-2.981770013872047e-16,-3.754821498949985e-16,2.4075031963855785e-16,-1.1706208202608776e-16,2.981770013872047e-16,1.4577542290041119e-16,-8.834874115176436e-17,-2.8271597168564594e-16,-1.3694054878523476e-16,-7.951386703658792e-17,-1.4135798584282297e-16,-4.417437057588218e-18,2.8713340874323416e-16,-1.8994979347629337e-16,-7.951386703658792e-17,-4.4174370575882175e-16,8.834874115176436e-17,2.2087185287941088e-16,-8.834874115176436e-17,3.8873446106776316e-16,-3.268903422615281e-16,-8.393130409417613e-17,2.1645441582182266e-16,-2.341241640521755e-16,8.393130409417613e-17,8.393130409417613e-17,-9.718361526694079e-17,1.3252311172764653e-17,-9.276617820935258e-17,-2.0541082317785212e-16,2.937595643296165e-16,2.252892899369991e-16,-9.93923337957349e-17,4.8591807633470396e-17,0.0,-8.393130409417613e-17,-5.024834653006597e-16,-1.6565388965955818e-17,-6.957463365701443e-17,-1.3252311172764653e-17,1.3141875246324949e-16,-2.170065954540212e-16,-3.1695110888195464e-16,-4.908876930244907e-16,-1.0160105232452901e-16,2.368850622131682e-16,-1.5557661137193504e-16,1.914682874648393e-16,4.693526873687481e-18,-8.834874115176435e-16,-1.7559312303913167e-16,-8.448348372637466e-17,-7.399207071460265e-17,2.8713340874323413e-17,-3.533949646070574e-17,1.987846675914698e-17,-4.991703875074687e-16,-5.356142432325714e-16,-2.0541082317785212e-16,5.168401357378215e-16,1.6786260818835226e-16,-2.672549419840872e-16,-3.975693351829396e-17,-1.0160105232452901e-16,-1.3252311172764654e-16,5.963540027744093e-17,8.834874115176436e-17,-2.4075031963855785e-16,-1.3252311172764653e-17,6.184411880623505e-17,1.4135798584282297e-16,1.7669748230352872e-16,1.766974823035287e-17,-9.276617820935258e-17,2.208718528794109e-17,2.5179391228252843e-16,-2.1645441582182266e-16,2.3854160110976374e-16
1,-5.79406014842807e-18,4.0,4.0,-3.533949646070574e-17,-3.533949646070574e-17,8.834874115176436e-17,1.236882376124701e-16,0.0,1.0601848938211722e-16,1.766974823035287e-17,-1.0601848938211722e-16,5.300924469105861e-17,5.300924469105861e-17,-7.067899292141149e-17,-3.3572521637670453e-16,1.766974823035287e-17,-1.7669748230352872e-16,-6.184411880623505e-17,0.0,7.067899292141149e-17,1.5902773407317583e-16,9.718361526694079e-17,9.718361526694079e-17,1.5902773407317583e-16,-8.834874115176436e-17,-7.067899292141149e-17,-3.533949646070574e-17,1.0601848938211722e-16,3.268903422615281e-16,3.0922059403117524e-16,0.0,-6.184411880623505e-17,-1.501928599579994e-16,1.7669748230352872e-16,-4.594134539891746e-16,-3.533949646070574e-17,8.834874115176436e-18,-1.2810567467005832e-16,-1.766974823035287e-17,1.7228004524594048e-16,1.3252311172764653e-17,-3.533949646070574e-17,1.7228004524594048e-16,0.0,-9.718361526694079e-17,-6.626155586382327e-17,3.666472757798221e-16,-1.0160105232452901e-16,-1.9436723053388158e-16,-2.208718528794109e-17,-2.208718528794109e-17,1.8111491936111694e-16,1.1485336349729365e-16,-3.092205940311753e-17,-2.959682828584106e-16,-6.184411880623505e-17,-6.184411880623505e-17,-4.417437057588218e-17,1.766974823035287e-17,-1.766974823035287e-17,-1.766974823035287e-17,-4.0,-4.0,-4.0,-4.0,-1.7669748230352872e-16,-2.1203697876423444e-16,3.5339496460705744e-16,5.300924469105861e-17,1.766974823035287e-17,0.0,-1.766974823035287e-17,-1.236882376124701e-16,-1.7669748230352872e-16,8.834874115176436e-17,-1.236882376124701e-16,7.067899292141149e-17,-2.297067269945873e-16,1.6786260818835226e-16,-1.0601848938211722e-16,-1.236882376124701e-16,-1.236882376124701e-16,1.0601848938211722e-16,-3.268903422615281e-16,-1.5902773407317583e-16,4.329088316436453e-16,-5.300924469105861e-17,-1.9436723053388158e-16,-1.3252311172764654e-16,-9.718361526694079e-17,-1.5902773407317583e-16,3.5339496460705744e-16,4.417437057588218e-17,6.184411880623505e-17,2.1203697876423444e-16,-1.1485336349729365e-16,-1.6786260818835226e-16,-1.4135798584282297e-16,-5.300924469105861e-17,-5.080052616226451e-16,1.766974823035287e-17,5.300924469105861e-17,-5.300924469105861e-17,-1.8553235641870515e-16,7.067899292141149e-17,-1.6344517113076405e-16,-9.276617820935258e-17,-3.6222983872223387e-16,-2.5621134934011665e-16,1.4135798584282297e-16,7.951386703658792e-17,-5.300924469105861e-17,-3.533949646070574e-17,1.8111491936111694e-16,6.184411880623505e-17,-8.393130409417613e-17,5.300924469105861e-17,8.834874115176436e-17,-3.1805546814635167e-16,6.184411880623505e-17,-1.9436723053388158e-16,-7.067899292141149e-17,-2.650462234552931e-16,7.067899292141149e-17,4.0,4.0
2,-2.2134231762496624e-17,4.0,4.0,4.0,4.0,3.5339496460705744e-16,1.0601848938211722e-16,-1.7669748230352872e-16,2.1203697876423444e-16,1.7669748230352872e-16,-3.533949646070574e-17,3.533949646070574e-17,-7.067899292141149e-17,-1.5902773407317583e-16,-3.533949646070574e-17,1.766974823035287e-17,1.0601848938211722e-16,-1.7669748230352872e-16,-1.7669748230352872e-16,2.650462234552931e-16,3.1805546814635167e-16,8.834874115176436e-17,1.0601848938211722e-16,-3.5339496460705744e-16,1.4135798584282297e-16,1.4135798584282297e-16,-7.067899292141149e-17,1.9436723053388158e-16,1.7669748230352872e-16,5.300924469105861e-17,1.9436723053388158e-16,-2.473764752249402e-16,8.834874115176436e-17,-1.0601848938211722e-16,3.8873446106776316e-16,1.7669748230352872e-16,1.5902773407317583e-16,1.236882376124701e-16,1.0601848938211722e-16,-1.236882376124701e-16,-8.834874115176436e-17,3.710647128374103e-16,8.834874115176436e-17,-1.236882376124701e-16,-2.1203697876423444e-16,-1.236882376124701e-16,-1.9436723053388158e-16,-5.300924469105861e-17,-7.067899292141149e-17,3.003857199159988e-16,-5.300924469105861e-17,-1.236882376124701e-16,2.650462234552931e-16,-1.766974823035287e-17,0.0,0.0,-8.834874115176436e-17,2.473764752249402e-16,-1.0601848938211722e-16,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-7.067899292141149e-17,-2.473764752249402e-16,1.0601848938211722e-16,-3.533949646070574e-17,0.0,-1.4135798584282297e-16,7.067899292141149e-17,1.7669748230352872e-16,8.834874115176436e-17,1.766974823035287e-17,-5.300924469105861e-17,-1.766974823035287e-17,8.834874115176436e-17,-1.4135798584282297e-16,-1.236882376124701e-16,-1.7669748230352872e-16,3.533949646070574e-17,1.4135798584282297e-16,1.0601848938211722e-16,1.0601848938211722e-16,-5.300924469105861e-17,3.3572521637670453e-16,1.0601848938211722e-16,-1.7669748230352872e-16,-3.533949646070574e-17,-4.4174370575882175e-16,1.7669748230352872e-16,0.0,-2.8271597168564594e-16,-1.236882376124701e-16,2.650462234552931e-16,-8.834874115176436e-17,-1.236882376124701e-16,-3.5339496460705744e-16,1.236882376124701e-16,2.650462234552931e-16,-5.300924469105861e-17,1.766974823035287e-17,-2.297067269945873e-16,-8.834874115176436e-17,-5.300924469105861e-17,1.0601848938211722e-16,1.766974823035287e-17,-1.7669748230352872e-16,1.7669748230352872e-16,-7.067899292141149e-17,2.1203697876423444e-16,3.533949646070574e-17,-1.5902773407317583e-16,8.834874115176436e-17,7.067899292141149e-17,1.236882376124701e-16,-1.7669748230352872e-16,1.7669748230352872e-16,1.4135798584282297e-16,4.000000000000001,4.0,4.0,4.000000000000001
3,-1.8810221229878628e-17,4.0,4.0,4.0,4.0,4.0,4.0,7.067899292141149e-17,1.0601848938211722e-16,1.7669748230352872e-16,3.533949646070574e-17,-1.7669748230352872e-16,-1.0601848938211722e-16,1.4135798584282297e-16,2.473764752249402e-16,1.7669748230352872e-16,-3.1805546814635167e-16,2.473764752249402e-16,3.533949646070574e-17,-3.533949646070574e-17,-1.4135798584282297e-16,-2.473764752249402e-16,1.0601848938211722e-16,-2.1203697876423444e-16,-3.533949646070574e-17,0.0,-7.067899292141149e-17,0.0,-5.300924469105861e-17,-8.834874115176436e-17,-7.067899292141149e-17,3.5339496460705744e-16,-3.5339496460705744e-16,3.533949646070574e-17,-2.8271597168564594e-16,-1.5902773407317583e-16,-3.533949646070574e-17,-2.297067269945873e-16,3.533949646070574e-17,1.5902773407317583e-16,1.766974823035287e-17,3.533949646070574e-17,3.533949646070574e-17,3.533949646070574e-17,8.834874115176436e-17,2.297067269945873e-16,2.473764752249402e-16,8.834874115176436e-17,1.9436723053388158e-16,2.8271597168564594e-16,2.473764752249402e-16,-1.766974823035287e-17,-7.067899292141149e-17,1.4135798584282297e-16,3.533949646070574e-17,3.533949646070574e-17,-1.4135798584282297e-16,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.000000000000001,-4.0,-1.7669748230352872e-16,7.067899292141149e-17,-7.067899292141149e-17,1.7669748230352872e-16,2.1203697876423444e-16,-2.473764752249402e-16,-1.7669748230352872e-16,-3.533949646070574e-17,1.7669748230352872e-16,-1.7669748230352872e-16,-1.7669748230352872e-16,-1.4135798584282297e-16,3.533949646070574e-17,2.473764752249402e-16,1.4135798584282297e-16,0.0,-2.473764752249402e-16,-7.067899292141149e-17,1.4135798584282297e-16,2.8271597168564594e-16,7.067899292141149e-17,-3.533949646070574e-17,-3.3572521637670453e-16,0.0,1.9436723053388158e-16,-1.236882376124701e-16,5.300924469105861e-17,4.0640420929811603e-16,1.7669748230352872e-16,-2.650462234552931e-16,-1.5902773407317583e-16,3.533949646070574e-17,8.834874115176436e-17,-2.8271597168564594e-16,1.766974823035287e-17,-5.300924469105861e-17,-1.766974823035287e-17,5.300924469105861e-17,1.236882376124701e-16,1.5902773407317583e-16,1.236882376124701e-16,2.297067269945873e-16,-7.067899292141149e-17,5.300924469105861e-17,1.766974823035287e-17,5.300924469105861e-17,0.0,3.533949646070574e-17,1.0601848938211722e-16,-7.067899292141149e-17,-3.5339496460705744e-16,4.0,4.0,4.0,4.0,4.000000000000001,4.000000000000001
4,-1.7484791198639223e-18,4.0,4.0,4.0,4.0,4.0,4.000000000000001,4.0,4.0,2.8271597168564594e-16,-7.067899292141149e-17,-1.4135798584282297e-16,-1.4135798584282297e-16,0.0,7.067899292141149e-17,-3.533949646070574e-17,1.4135798584282297e-16,-1.7669748230352872e-16,0.0,-3.533949646070574e-17,2.473764752249402e-16,-3.533949646070574e-17,0.0,-3.533949646070574e-17,-7.067899292141149e-17,-1.0601848938211722e-16,-2.473764752249402e-16,3.533949646070574e-17,-7.067899292141149e-17,3.533949646070574e-17,-2.8271597168564594e-16,-2.473764752249402e-16,-3.533949646070574e-17,3.533949646070574e-17,3.533949646070574e-17,1.0601848938211722e-16,-1.4135798584282297e-16,-3.5339496460705744e-16,1.4135798584282297e-16,-3.1805546814635167e-16,1.7669748230352872e-16,2.473764752249402e-16,1.0601848938211722e-16,-1.0601848938211722e-16,-3.533949646070574e-17,7.067899292141149e-17,-2.473764752249402e-16,-2.8271597168564594e-16,3.533949646070574e-17,-7.067899292141149e-17,1.0601848938211722e-16,-3.533949646070574e-17,2.1203697876423444e-16,-1.0601848938211722e-16,7.067899292141149e-17,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,7.067899292141149e-17,1.4135798584282297e-16,1.4135798584282297e-16,1.7669748230352872e-16,-3.533949646070574e-17,1.7669748230352872e-16,7.067899292141149e-17,0.0,-1.7669748230352872e-16,-1.7669748230352872e-16,-2.1203697876423444e-16,-1.7669748230352872e-16,2.1203697876423444e-16,7.067899292141149e-17,-3.533949646070574e-17,-3.533949646070574e-17,-1.7669748230352872e-16,-3.533949646070574e-17,-1.0601848938211722e-16,-1.0601848938211722e-16,3.533949646070574e-17,-3.533949646070574e-17,-6.361109362927033e-16,-7.067899292141149e-17,-3.533949646070574e-17,2.1203697876423444e-16,-1.0601848938211722e-16,3.533949646070574e-17,-7.067899292141149e-17,1.4135798584282297e-16,2.8271597168564594e-16,-1.0601848938211722e-16,-1.4135798584282297e-16,3.533949646070574e-17,1.0601848938211722e-16,2.1203697876423444e-16,3.533949646070574e-17,2.8271597168564594e-16,-1.7669748230352872e-16,1.0601848938211722e-16,3.533949646070574e-17,-2.473764752249402e-16,-7.067899292141149e-17,-3.533949646070574e-17,1.7669748230352872e-16,-1.4135798584282297e-16,2.8271597168564594e-16,4.0,4.000000000000001,4.0,4.0,4.0,4.0,4.0,4.0
5,1.524655011386744e-17,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-2.1203697876423444e-16,7.067899292141149e-17,-7.067899292141149e-17,0.0,1.4135798584282297e-16,2.8271597168564594e-16,7.067899292141149e-17,0.0,3.1805546814635167e-16,2.1203697876423444e-16,2.1203697876423444e-16,-7.067899292141149e-17,-3.533949646070574e-17,-3.533949646070574e-17,1.0601848938211722e-16,7.067899292141149e-17,-1.7669748230352872e-16,3.533949646070574e-17,7.067899292141149e-17,1.4135798584282297e-16,1.7669748230352872e-16,-7.067899292141149e-17,-1.0601848938211722e-16,-7.067899292141149e-17,1.4135798584282297e-16,0.0,-1.0601848938211722e-16,-3.533949646070574e-17,1.7669748230352872e-16,3.1805546814635167e-16,-1.7669748230352872e-16,0.0,7.067899292141149e-17,1.0601848938211722e-16,3.533949646070574e-17,2.1203697876423444e-16,-7.067899292141149e-17,-2.8271597168564594e-16,0.0,-1.0601848938211722e-16,7.067899292141149e-17,-2.1203697876423444e-16,-4.0,-4.000000000000001,-4.0,-4.000000000000001,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,2.1203697876423444e-16,0.0,-2.1203697876423444e-16,-1.4135798584282297e-16,-2.473764752249402e-16,-1.4135798584282297e-16,3.8873446106776316e-16,-1.4135798584282297e-16,1.4135798584282297e-16,-1.4135798584282297e-16,1.4135798584282297e-16,-1.0601848938211722e-16,3.8873446106776316e-16,-3.533949646070574e-17,-3.533949646070574e-17,3.533949646070574e-17,-7.067899292141149e-17,1.0601848938211722e-16,2.8271597168564594e-16,1.0601848938211722e-16,3.533949646070574e-17,3.533949646070574e-17,3.533949646070574e-17,1.4135798584282297e-16,-3.533949646070574e-17,1.0601848938211722e-16,-7.067899292141149e-17,1.4135798584282297e-16,0.0,1.7669748230352872e-16,-2.1203697876423444e-16,7.067899292141149e-17,-2.1203697876423444e-16,1.4135798584282297e-16,1.7669748230352872e-16,3.1805546814635167e-16,0.0,-2.1203697876423444e-16,-2.473764752249402e-16,1.7669748230352872e-16,3.533949646070574e-17,0.0,3.533949646070574e-17,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
6,5.741662592763639e-17,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-1.4135798584282297e-16,7.067899292141149e-17,-1.4135798584282297e-16,-7.067899292141149e-17,-7.067899292141149e-17,-2.1203697876423444e-16,0.0,4.240739575284689e-16,-7.067899292141149e-17,2.1203697876423444e-16,1.4135798584282297e-16,2.1203697876423444e-16,-3.533949646070574e-17,-1.4135798584282297e-16,-1.4135798584282297e-16,-2.473764752249402e-16,-1.4135798584282297e-16,-2.8271597168564594e-16,-1.0601848938211722e-16,4.240739575284689e-16,-3.533949646070574e-17,1.4135798584282297e-16,1.7669748230352872e-16,-3.1805546814635167e-16,3.533949646070574e-17,-1.7669748230352872e-16,3.533949646070574e-17,3.533949646070574e-17,-1.0601848938211722e-16,0.0,1.0601848938211722e-16,1.4135798584282297e-16,-3.533949646070574e-17,2.1203697876423444e-16,-7.067899292141149e-17,4.947529504498804e-16,3.533949646070574e-17,-3.5339496460705744e-16,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.000000000000001,-4.000000000000001,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.000000000000001,-2.1203697876423444e-16,7.067899292141149e-17,-1.4135798584282297e-16,-1.4135798584282297e-16,-7.067899292141149e-17,1.4135798584282297e-16,-1.4135798584282297e-16,-7.067899292141149e-17,-2.1203697876423444e-16,0.0,1.4135798584282297e-16,-1.4135798584282297e-16,-1.4135798584282297e-16,-1.0601848938211722e-16,-3.1805546814635167e-16,1.0601848938211722e-16,-2.1203697876423444e-16,-7.067899292141149e-17,1.4135798584282297e-16,-1.0601848938211722e-16,-2.8271597168564594e-16,2.1203697876423444e-16,-3.533949646070574e-17,-3.533949646070574e-17,2.8271597168564594e-16,7.067899292141149e-17,-3.533949646070574e-17,-1.0601848938211722e-16,0.0,-2.1203697876423444e-16,-2.8271597168564594e-16,0.0,2.1203697876423444e-16,7.067899292141149e-17,-3.533949646070574e-17,-2.8271597168564594e-16,-1.0601848938211722e-16,-1.7669748230352872e-16,-1.4135798584282297e-16,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.000000000000001
7,3.213457766199741e-17,4.0,4.0,4.0,4.0,4.0,4.0,4.000000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,-4.240739575284689e-16,-7.067899292141149e-17,1.4135798584282297e-16,-3.5339496460705744e-16,1.4135798584282297e-16,7.067899292141149e-17,0.0,-2.8271597168564594e-16,1.4135798584282297e-16,0.0,-1.4135798584282297e-16,1.4135798584282297e-16,-1.4135798584282297e-16,-2.1203697876423444e-16,1.4135798584282297e-16,-1.4135798584282297e-16,-2.1203697876423444e-16,-7.067899292141149e-17,0.0,0.0,-7.067899292141149e-17,-1.4135798584282297e-16,-2.1203697876423444e-16,-7.067899292141149e-17,-5.654319433712919e-16,7.067899292141149e-17,-2.1203697876423444e-16,-1.4135798584282297e-16,4.240739575284689e-16,3.5339496460705744e-16,0.0,2.8271597168564594e-16,2.1203697876423444e-16,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,7.067899292141149e-17,2.8271597168564594e-16,2.1203697876423444e-16,2.8271597168564594e-16,2.8271597168564594e-16,0.0,0.0,4.240739575284689e-16,4.240739575284689e-16,-2.8271597168564594e-16,-1.4135798584282297e-16,-1.4135798584282297e-16,-2.8271597168564594e-16,1.4135798584282297e-16,-2.8271597168564594e-16,-4.240739575284689e-16,-1.4135798584282297e-16,-1.4135798584282297e-16,0.0,-7.067899292141149e-17,1.4135798584282297e-16,2.1203697876423444e-16,-7.067899292141149e-17,-7.067899292141149e-17,-7.067899292141149e-17,1.4135798584282297e-16,-3.5339496460705744e-16,-3.5339496460705744e-16,-1.4135798584282297e-16,-2.1203697876423444e-16,7.067899292141149e-17,-2.8271597168564594e-16,7.067899292141149e-17,-1.4135798584282297e-16,-2.1203697876423444e-16,4.000000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.000000000000001,4.0,4.0
8,-7.52793653878332e-17,4.0,4.000000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.000000000000001,4.0,4.0,4.0,4.000000000000001,1.4135798584282297e-16,1.4135798584282297e-16,7.067899292141149e-17,2.8271597168564594e-16,-4.947529504498804e-16,-7.067899292141149e-17,7.067899292141149e-17,4.240739575284689e-16,2.8271597168564594e-16,-7.067899292141149e-17,-7.067899292141149e-17,-2.8271597168564594e-16,2.1203697876423444e-16,1.4135798584282297e-16,-6.361109362927033e-16,-7.067899292141149e-17,-1.4135798584282297e-16,1.4135798584282297e-16,7.067899292141149e-17,1.4135798584282297e-16,-2.1203697876423444e-16,-7.067899292141149e-17,2.1203697876423444e-16,0.0,0.0,1.4135798584282297e-16,-2.1203697876423444e-16,-2.8271597168564594e-16,3.5339496460705744e-16,-7.067899292141149e-17,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-1.4135798584282297e-16,0.0,3.5339496460705744e-16,0.0,-1.4135798584282297e-16,7.067899292141149e-17,7.067899292141149e-17,-2.8271597168564594e-16,7.067899292141149e-17,-7.067899292141149e-17,7.067899292141149e-17,1.4135798584282297e-16,1.4135798584282297e-16,1.4135798584282297e-16,7.067899292141149e-17,-7.067899292141149e-17,2.8271597168564594e-16,0.0,-7.067899292141149e-17,-3.5339496460705744e-16,-1.4135798584282297e-16,-2.1203697876423444e-16,-1.4135798584282297e-16,2.1203697876423444e-16,-7.067899292141149e-17,4.240739575284689e-16,-3.5339496460705744e-16,0.0,0.0,-1.4135798584282297e-16,-4.947529504498804e-16,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.000000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0
9,-1.7333787972748715e-16,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.000000000000001,4.0,2.8271597168564594e-16,1.4135798584282297e-16,-1.4135798584282297e-16,1.4135798584282297e-16,7.067899292141149e-17,-1.4135798584282297e-16,-1.4135798584282297e-16,-1.4135798584282297e-16,1.4135798584282297e-16,7.067899292141149e-17,7.067899292141149e-17,2.1203697876423444e-16,0.0,0.0,1.4135798584282297e-16,-2.8271597168564594e-16,7.067899292141149e-17,0.0,3.5339496460705744e-16,-2.8271597168564594e-16,-1.4135798584282297e-16,-7.067899292141149e-17,0.0,-1.4135798584282297e-16,-1.4135798584282297e-16,7.067899292141149e-17,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-4.0,-4.0,-4.000000000000001,-4.0,-4.0,-4.0,-4.0,-1.4135798584282297e-16,1.4135798584282297e-16,-3.5339496460705744e-16,-2.8271597168564594e-16,-1.4135798584282297e-16,7.067899292141149e-17,3.5339496460705744e-16,-1.4135798584282297e-16,-2.8271597168564594e-16,-7.067899292141149e-17,0.0,7.067899292141149e-17,1.4135798584282297e-16,-2.1203697876423444e-16,-2.8271597168564594e-16,-1.4135798584282297e-16,1.4135798584282297e-16,-1.4135798584282297e-16,-7.067899292141149e-17,-7.067899292141149e-17,1.4135798584282297e-16,1.4135798584282297e-16,0.0,-4.240739575284689e-16,1.4135798584282297e-16,7.067899292141149e-17,2.1203697876423444e-16,4.000000000000001,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
